T(n),n,n^2,n^3,T(n)/n,T(n)/n^2,T(n)/n^3
243700,100,10000,1000000,2437,24.37,0.2437
939201,200,40000,8000000,4696,23.480025,0.117400125
2046000,300,90000,27000000,6820,22.73333333,0.075777778
3487300,400,160000,64000000,8718,21.795625,0.054489063
1921801,500,250000,125000000,3843,7.687204,0.015374408
1614300,600,360000,216000000,2690,4.484166667,0.007473611
2424200,700,490000,343000000,3463,4.947346939,0.007067638
3758701,800,640000,512000000,4698,5.872970313,0.007341213
4115400,900,810000,729000000,4572,5.080740741,0.005645267
5474400,1000,1000000,1000000000,5474,5.4744,0.0054744
6890500,1100,1210000,1331000000,6264,5.694628099,0.005176935
8606200,1200,1440000,1728000000,7171,5.976527778,0.00498044
10520300,1300,1690000,2147483647,8092,6.225029586,0.004788484
12959700,1400,1960000,2147483647,9256,6.612091837,0.004722923
15554899,1500,2250000,2147483647,10369,6.913288444,0.004608859
18756399,1600,2560000,2147483647,11722,7.326718359,0.004579199
21460901,1700,2890000,2147483647,12624,7.425917301,0.004368187
25180900,1800,3240000,2147483647,13989,7.771882716,0.004317713
28707101,1900,3610000,2147483647,15109,7.95210554,0.004185319
32685501,2000,4000000,2147483647,16342,8.17137525,0.004085688
37048900,2100,4410000,2147483647,17642,8.401111111,0.004000529
41375200,2200,4840000,2147483647,18806,8.548595041,0.003885725
46476001,2300,5290000,2147483647,20206,8.785633459,0.003819841
51679400,2400,5760000,2147483647,21533,8.972118056,0.003738383
57300800,2500,6250000,2147483647,22920,9.168128,0.003667251
63135300,2600,6760000,2147483647,24282,9.33954142,0.003592131
69239999,2700,7290000,2147483647,25644,9.49794225,0.003517756
75755099,2800,7840000,2147483647,27055,9.662640179,0.003450943
82243701,2900,8410000,2147483647,28359,9.779274792,0.003372164
89275801,3000,9000000,2147483647,29758,9.919533444,0.003306511
97489299,3100,9610000,2147483647,31448,10.14456805,0.003272441
105705100,3200,10240000,2147483647,33032,10.32276367,0.003225864
112108700,3300,10890000,2147483647,33972,10.29464646,0.00311959
119857300,3400,11560000,2147483647,35252,10.36827855,0.003049494
128573300,3500,12250000,2147483647,36735,10.49577959,0.002998794
136200800,3600,12960000,2147483647,37833,10.50932099,0.002919256
146398000,3700,13690000,2147483647,39567,10.69379109,0.002890214
155698899,3800,14440000,2147483647,40973,10.78247223,0.002837493
164932400,3900,15210000,2147483647,42290,10.84368179,0.002780431
175477100,4000,16000000,2147483647,43869,10.96731875,0.00274183
180205099,4100,16810000,2147483647,43952,10.72011297,0.002614662
189869300,4200,17640000,2147483647,45206,10.76356576,0.002562754
200543800,4300,18490000,2147483647,46638,10.84606814,0.002522341
211404900,4400,19360000,2147483647,48046,10.91967459,0.002481744
220807600,4500,20250000,2147483647,49068,10.90407901,0.002423129
233447900,4600,21160000,2147483647,50749,11.03250945,0.002398372
241716199,4700,22090000,2147483647,51428,10.94233585,0.002328157
253236901,4800,23040000,2147483647,52757,10.99118494,0.00228983
264837100,4900,24010000,2147483647,54048,11.03028322,0.002251078
276894101,5000,25000000,2147483647,55378,11.07576404,0.002215153
287666800,5100,26010000,2147483647,56405,11.0598539,0.002168599
309981801,5200,27040000,2147483647,59611,11.463824,0.002204582
317704999,5300,28090000,2147483647,59944,11.31025272,0.00213401
330996500,5400,29160000,2147483647,61295,11.35104595,0.002102046
344860500,5500,30250000,2147483647,62701,11.40034711,0.00207279
353963600,5600,31360000,2147483647,63207,11.28710459,0.002015554
372058001,5700,32490000,2147483647,65273,11.45146202,0.002009028
379758001,5800,33640000,2147483647,65475,11.28888231,0.001946359
393056400,5900,34810000,2147483647,66619,11.29147946,0.00191381
411005400,6000,36000000,2147483647,68500,11.41681667,0.001902803
423689401,6100,37210000,2147483647,69457,11.38643916,0.001866629
436808600,6200,38440000,2147483647,70453,11.3633871,0.001832804
463223400,6300,39690000,2147483647,73527,11.67103553,0.001852545
472551599,6400,40960000,2147483647,73836,11.53690427,0.001802641
483519501,6500,42250000,2147483647,74387,11.44424854,0.001760654
508885300,6600,43560000,2147483647,77103,11.68239899,0.00177006
520180499,6700,44890000,2147483647,77638,11.5878926,0.001729536
544411000,6800,46240000,2147483647,80060,11.77359429,0.001731411
557350100,6900,47610000,2147483647,80775,11.70657635,0.001696605
568970400,7000,49000000,2147483647,81281,11.61164082,0.001658806
593098300,7100,50410000,2147483647,83534,11.76548899,0.001657111
604847599,7200,51840000,2147483647,84006,11.66758486,0.001620498
622361800,7300,53290000,2147483647,85255,11.67877275,0.001599832
642742799,7400,54760000,2147483647,86857,11.73745068,0.001586142
681949600,7500,56250000,2147483647,90926,12.12354844,0.001616473
684398200,7600,57760000,2147483647,90052,11.84899931,0.001559079
703920400,7700,59290000,2147483647,91418,11.87249789,0.001541883
723109100,7800,60840000,2147483647,92706,11.88542242,0.001523772
742173901,7900,62410000,2147483647,93946,11.89190676,0.001505305
762455901,8000,64000000,2147483647,95306,11.91337345,0.001489172
783764601,8100,65610000,2147483647,96761,11.94581011,0.001474791
809862700,8200,67240000,2147483647,98763,12.04435901,0.001468824
827215000,8300,68890000,2147483647,99664,12.007766,0.001446719
861576199,8400,70560000,2147483647,102568,12.21054704,0.001453637
874601401,8500,72250000,2147483647,102894,12.1052097,0.001424142
908435300,8600,73960000,2147483647,105632,12.28279205,0.001428232
923876100,8700,75690000,2147483647,106192,12.20605232,0.001402995
941538600,8800,77440000,2147483647,106993,12.15829804,0.001381625
976425000,8900,79210000,2147483647,109710,12.32704204,0.001385061
1000086600,9000,81000000,2147483647,111120,12.34674815,0.001371861
1023834400,9100,82810000,2147483647,112509,12.36365656,0.001358644
1044110900,9200,84640000,2147483647,113490,12.33590383,0.001340859
1084168800,9300,86490000,2147483647,116577,12.53519251,0.00134787
1093157600,9400,88360000,2147483647,116293,12.37163422,0.001316131
1125827000,9500,90250000,2147483647,118508,12.4745374,0.001313109
1146097800,9600,92160000,2147483647,119385,12.43595703,0.001295412
1185664301,9700,94090000,2147483647,122233,12.60138485,0.001299112
1205328400,9800,96040000,2147483647,122992,12.55027489,0.00128064
1243445400,9900,98010000,2147483647,125600,12.68692378,0.001281507
1270987300,10000,100000000,2147483647,127098,12.709873,0.001270987
1308735300,10100,102010000,2147483647,129577,12.82948044,0.001270246
1332030800,10200,104040000,2147483647,130591,12.80306421,0.001255202
1370889099,10300,106090000,2147483647,133096,12.92194457,0.001254558
